id,name,category,glass,tags,alcoholic,ingredients
11000,Mojito,Cocktail,Highball glass,"['IBA', 'ContemporaryClassic', 'Alcoholic', 'USA', 'Asia', 'Vegan', 'Citrus', 'Brunch', 'Hangover', 'Mild']",1,"['Soda water', 'Light Rum', 'Lime', 'Mint', 'Sugar']"
11001,Old Fashioned,Cocktail,Old-fashioned glass,"['IBA', 'Classic', 'Alcoholic', 'Expensive', 'Savory']",1,"['Water', 'Sugar', 'Angostura Bitters', 'Bourbon']"
11002,Long Island Tea,Ordinary Drink,Highball glass,"['Strong', 'Asia', 'StrongFlavor', 'Brunch', 'Vegetarian', 'Sour']",1,"['Light Rum', 'lemon', 'Vodka', 'Gin', 'Tequila', 'Coca-Cola']"
11003,Negroni,Ordinary Drink,Old-fashioned glass,"['IBA', 'Classic']",1,"['Sweet Vermouth', 'Gin', 'Campari']"
11004,Whiskey Sour,Ordinary Drink,Old-fashioned glass,"['IBA', 'Classic', 'Alcoholic', 'ContemporaryClassic']",1,"['Powdered Sugar', 'lemon', 'Blended Whiskey', 'Cherry']"
11005,Dry Martini,Cocktail,Cocktail glass,"['IBA', 'Classic', 'Christmas', 'Alcoholic']",1,"['Dry Vermouth', 'Gin', 'Olive']"
11006,Daiquiri,Ordinary Drink,Cocktail glass,"['IBA', 'Classic', 'Beach']",1,"['Light Rum', 'Lime', 'Powdered Sugar']"
11007,Margarita,Ordinary Drink,Cocktail glass,"['IBA', 'ContemporaryClassic']",1,"['Tequila', 'Lime Juice', 'Salt', 'Triple Sec']"
11008,Manhattan,Cocktail,Cocktail glass,"['IBA', 'Classic', 'Alcoholic']",1,"['Angostura Bitters', 'Bourbon', 'Ice', 'Maraschino Cherry', 'Orange Peel', 'Sweet Vermouth']"
11009,Moscow Mule,Punch / Party Drink,Copper Mug,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Ginger Ale', 'Lime Juice']"
11010,After Dinner Cocktail,Ordinary Drink,Cocktail glass,['DinnerParty'],1,"['Apricot Brandy', 'Lime', 'Triple Sec']"
11011,After Supper Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Apricot Brandy', 'Lemon Juice', 'Triple Sec']"
11012,Alabama Slammer,Ordinary Drink,Highball glass,['Summer'],1,"['Amaretto', 'Lemon Juice', 'Sloe Gin', 'Southern Comfort']"
11013,Alaska Cocktail,Ordinary Drink,Cocktail glass,"['Beach', 'Chilli']",1,"['Gin', 'Lemon Peel', 'Orange Bitters', 'Yellow Chartreuse']"
11014,Alexander,Ordinary Drink,Cocktail glass,"['IBA', 'Classic', 'Dairy']",1,"['Gin', 'Creme De Cacao', 'Light Cream', 'Nutmeg']"
11016,Brandy Alexander,Ordinary Drink,Whiskey Glass,"['Nutty', 'Dairy']",1,"['Brandy', 'Creme De Cacao', 'Light Cream', 'Nutmeg']"
11019,Alfie Cocktail,Ordinary Drink,Cocktail glass,['Alcoholic'],1,"['Lemon vodka', 'Pineapple Juice', 'Triple Sec']"
11020,Algonquin,Ordinary Drink,Cocktail glass,[],1,"['Blended Whiskey', 'Dry Vermouth', 'Pineapple Juice']"
11021,Allegheny,Ordinary Drink,Cocktail glass,[],1,"['Blackberry Brandy', 'Bourbon', 'Dry Vermouth', 'Lemon Juice', 'Lemon Peel']"
11022,Allies Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Dry Vermouth', 'Kummel']"
11023,Almeria,Ordinary Drink,Cocktail glass,[],1,"['Dark Rum', 'Egg White', 'Kahlua']"
11024,Almond Joy,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'Creme De Cacao', 'Light Cream']"
11025,Amaretto And Cream,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'Light Cream']"
11026,Amaretto Mist,Ordinary Drink,Old-fashioned glass,[],1,"['Amaretto', 'Lime']"
11027,Amaretto Rose,Ordinary Drink,Collins glass,[],1,"['Amaretto', 'Club Soda', 'Lime Juice']"
11028,Amaretto Stinger,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'White Creme de Menthe']"
11029,Amaretto Tea,Ordinary Drink,Pousse cafe glass,[],1,"['Amaretto', 'Tea', 'Whipped Cream']"
11034,Angel Face,Ordinary Drink,Cocktail glass,"['IBA', 'Classic']",1,"['Gin', 'Apple Brandy', 'Apricot Brandy']"
11046,Applecar,Ordinary Drink,Cocktail glass,[],1,"['Applejack', 'Lemon Juice', 'Triple Sec']"
11050,Apricot Lady,Ordinary Drink,Old-fashioned glass,['Cold'],1,"['Apricot Brandy', 'Egg White', 'Lemon Juice', 'Light Rum', 'Orange', 'Triple Sec']"
11052,Archbishop,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Benedictine', 'Lime', 'Wine']"
11053,Arise My Love,Ordinary Drink,Champagne flute,[],1,"['Champagne', 'Green Creme de Menthe']"
11054,Arthur Tompkins,Ordinary Drink,Whiskey sour glass,[],1,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Lemon Peel']"
11055,Artillery,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Bitters', 'Sweet Vermouth']"
11060,Balmoral,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Bitters', 'Dry Vermouth', 'Sweet Vermouth']"
11064,Banana Daiquiri,Ordinary Drink,Champagne flute,['Fruity'],1,"['Banana', 'Cherry', 'Light Rum', 'Lime Juice', 'Sugar', 'Triple Sec']"
11084,Bermuda Highball,Ordinary Drink,Highball glass,[],1,"['Gin', 'Brandy', 'Carbonated Water', 'Dry Vermouth', 'Lemon Peel']"
11102,Black Russian,Ordinary Drink,Old-fashioned glass,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Coffee Liqueur']"
11106,Blackthorn,Ordinary Drink,Cocktail glass,[],1,"['Lemon Peel', 'Sloe Gin', 'Sweet Vermouth']"
11112,Bloody Maria,Ordinary Drink,Old-fashioned glass,"['Breakfast', 'Brunch', 'Hangover']",1,"['Tequila', 'Celery Salt', 'Lemon Juice', 'lemon', 'Tabasco Sauce', 'Tomato Juice']"
11113,Bloody Mary,Ordinary Drink,Old-fashioned glass,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Lemon Juice', 'Lime', 'Tabasco Sauce', 'Tomato Juice', 'Worcestershire Sauce']"
11117,Blue Lagoon,Ordinary Drink,Highball glass,[],1,"['Vodka', 'Blue Curacao', 'Cherry', 'Lemonade']"
11118,Blue Margarita,Ordinary Drink,Cocktail glass,[],1,"['Tequila', 'Blue Curacao', 'Lime Juice', 'Salt']"
11119,Blue Mountain,Ordinary Drink,Old-fashioned glass,[],1,"['Vodka', 'A̱ejo Rum', 'Lemon Juice', 'Orange Juice', 'Tia Maria']"
11120,Bluebird,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Bitters', 'Blue Curacao', 'Lemon Peel', 'Maraschino Cherry', 'Triple Sec']"
11121,Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Benedictine', 'Lemon Peel', 'Sweet Vermouth']"
11124,Boomerang,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Bitters', 'Dry Vermouth', 'Maraschino Cherry', 'Maraschino Liqueur']"
11128,Boston Sidecar,Ordinary Drink,Cocktail glass,[],1,"['Brandy', 'Light Rum', 'Lime', 'Triple Sec']"
11129,Boston Sour,Ordinary Drink,Whiskey sour glass,[],1,"['Blended Whiskey', 'Cherry', 'Egg White', 'lemon', 'Powdered Sugar']"
11145,Classic Old-Fashioned,Ordinary Drink,Old-fashioned glass,[],1,"['Bitters', 'Bourbon', 'Maraschino Cherry', 'Orange', 'Sugar', 'Water']"
11146,Bourbon Sling,Ordinary Drink,Highball glass,[],1,"['Bourbon', 'Lemon Juice', 'Lemon Peel', 'Sugar', 'Water']"
11147,Bourbon Sour,Ordinary Drink,Whiskey sour glass,[],1,"['Bourbon', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']"
11149,Boxcar,Ordinary Drink,Whiskey sour glass,[],1,"['Gin', 'Egg White', 'Grenadine', 'Lemon Juice', 'Triple Sec']"
11157,Brandy Cobbler,Ordinary Drink,Old-fashioned glass,[],1,"['Brandy', 'Club Soda', 'lemon', 'Maraschino Cherry', 'Orange', 'Sugar']"
11164,Brandy Flip,Ordinary Drink,Whiskey sour glass,[],1,"['Brandy', 'Egg', 'Light Cream', 'Nutmeg', 'Sugar']"
11170,Brandy Sour,Ordinary Drink,Whiskey sour glass,[],1,"['Brandy', 'Cherry', 'lemon', 'Powdered Sugar']"
11202,Caipirinha,Ordinary Drink,Old-fashioned glass,"['ContemporaryClassic', 'IBA']",1,"['Cachaca', 'Lime', 'Sugar']"
11205,California Lemonade,Ordinary Drink,Collins glass,[],1,"['Blended Whiskey', 'Carbonated Water', 'Grenadine', 'lemon', 'Lime', 'Powdered Sugar']"
11222,Casa Blanca,Ordinary Drink,Cocktail glass,[],1,"['Light Rum', 'Lime Juice', 'Maraschino Liqueur', 'Triple Sec']"
11224,Casino Royale,Ordinary Drink,Whiskey sour glass,[],1,"['Gin', 'Egg Yolk', 'Lemon Juice', 'Maraschino Liqueur', 'Orange Bitters']"
11227,Champagne Cocktail,Ordinary Drink,Champagne flute,"['IBA', 'ContemporaryClassic']",1,"['Bitters', 'Champagne', 'Cognac', 'Lemon Peel', 'Sugar']"
11239,Cherry Rum,Ordinary Drink,Cocktail glass,[],1,"['Cherry Brandy', 'Light Cream', 'Light Rum']"
11242,Chicago Fizz,Ordinary Drink,Highball glass,[],1,"['Carbonated Water', 'Egg White', 'lemon', 'Light Rum', 'Port', 'Powdered Sugar']"
11243,Chocolate Black Russian,Ordinary Drink,Champagne flute,[],1,"['Vodka', 'Chocolate Ice-cream', 'Kahlua']"
11251,City Slicker,Ordinary Drink,Cocktail glass,[],1,"['Brandy', 'Lemon Juice', 'Triple Sec']"
11255,Clove Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Sloe Gin', 'Sweet Vermouth', 'Wine']"
11288,Cuba Libre,Ordinary Drink,Highball glass,"['IBA', 'ContemporaryClassic']",1,"['Coca-Cola', 'Light Rum', 'Lime']"
11320,Dragonfly,Ordinary Drink,Highball glass,[],1,"['Gin', 'Ginger Ale', 'Lime']"
11324,Dry Rob Roy,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Dry Vermouth', 'Lemon Peel']"
11326,Dubonnet Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Bitters', 'Dubonnet Rouge', 'Lemon Peel']"
11338,English Highball,Ordinary Drink,Highball glass,[],1,"['Gin', 'Brandy', 'Carbonated Water', 'Lemon Peel', 'Sweet Vermouth']"
11339,English Rose Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Apricot Brandy', 'Cherry', 'Dry Vermouth', 'Grenadine', 'Lemon Juice']"
11368,Flying Dutchman,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Triple Sec']"
11369,Flying Scotchman,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Bitters', 'Sugar Syrup', 'Sweet Vermouth']"
11375,Foxy Lady,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'Creme De Cacao', 'Light Cream']"
11382,Frisco Sour,Ordinary Drink,Whiskey sour glass,[],1,"['Benedictine', 'Blended Whiskey', 'lemon', 'Lime']"
11387,Frozen Daiquiri,Ordinary Drink,Champagne flute,[],1,"['Cherry', 'Ice', 'Light Rum', 'Lime Juice', 'Sugar', 'Triple Sec']"
11390,Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,[],1,"['Light Rum', 'Lime Juice', 'Mint', 'Sugar']"
11391,Frozen Pineapple Daiquiri,Ordinary Drink,Cocktail glass,[],1,"['Light Rum', 'Lime Juice', 'Pineapple', 'Sugar']"
11396,Gentleman's Club,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Brandy', 'Club Soda', 'Sweet Vermouth']"
11403,Gin And Tonic,Ordinary Drink,Highball glass,[],1,"['Gin', 'Lime', 'Tonic Water']"
11407,Gin Cooler,Ordinary Drink,Collins glass,[],1,"['Gin', 'Carbonated Water', 'Lemon Peel', 'Orange spiral', 'Powdered Sugar']"
11408,Gin Daisy,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Grenadine', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']"
11410,Gin Fizz,Ordinary Drink,Highball glass,"['IBA', 'Classic']",1,"['Gin', 'Carbonated Water', 'lemon', 'Powdered Sugar']"
11415,Gin Sling,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'lemon', 'Orange Peel', 'Powdered Sugar', 'Water']"
11416,Gin Smash,Ordinary Drink,Old-fashioned glass,"['Citrus', 'StrongFlavor']",1,"['Gin', 'Carbonated Water', 'Cherry', 'Mint', 'Orange', 'Sugar']"
11417,Gin Sour,Ordinary Drink,Whiskey sour glass,['Sour'],1,"['Gin', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']"
11418,Gin Squirt,Ordinary Drink,Highball glass,[],1,"['Gin', 'Carbonated Water', 'Grenadine', 'Pineapple', 'Powdered Sugar', 'Strawberries']"
11419,Gin Swizzle,Ordinary Drink,Highball glass,[],1,"['Gin', 'Bitters', 'Club Soda', 'Lime Juice', 'Sugar']"
11420,Gin Toddy,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Lemon Peel', 'Powdered Sugar', 'Water']"
11422,Godchild,Ordinary Drink,Champagne flute,[],1,"['Vodka', 'Amaretto', 'Heavy cream']"
11423,Godfather,Ordinary Drink,Old-fashioned glass,"['IBA', 'ContemporaryClassic']",1,"['Scotch', 'Amaretto']"
11424,Godmother,Ordinary Drink,Old-fashioned glass,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Amaretto']"
11433,Grass Skirt,Ordinary Drink,Old-fashioned glass,[],1,"['Gin', 'Grenadine', 'Pineapple Juice', 'Pineapple', 'Triple Sec']"
11462,Harvey Wallbanger,Ordinary Drink,Collins glass,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Galliano', 'Orange Juice']"
11470,Havana Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Lemon Juice', 'Light Rum', 'Pineapple Juice']"
11472,Hawaiian Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Pineapple Juice', 'Triple Sec']"
11476,Highland Fling Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Olive', 'Orange Bitters', 'Sweet Vermouth']"
11524,Imperial Fizz,Ordinary Drink,Highball glass,[],1,"['Blended Whiskey', 'Carbonated Water', 'lemon', 'Light Rum', 'Powdered Sugar']"
11528,Irish Spring,Ordinary Drink,Collins glass,[],1,"['Cherry', 'Irish Whiskey', 'Orange Juice', 'Orange', 'Peach brandy', 'Sweet and Sour']"
11542,Jack Rose Cocktail,Ordinary Drink,Cocktail glass,['Beach'],1,"['Apple Brandy', 'Grenadine', 'Lime']"
11558,Japanese Fizz,Ordinary Drink,Highball glass,[],1,"['Blended Whiskey', 'Carbonated Water', 'Egg White', 'lemon', 'Port', 'Powdered Sugar']"
11566,Jewel Of The Nile,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']"
11580,John Collins,Ordinary Drink,Collins glass,['IBA'],1,"['Bourbon', 'Club Soda', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']"
11600,Kamikaze,Ordinary Drink,Cocktail glass,"['IBA', 'NewEra']",1,"['Vodka', 'Lime Juice', 'Triple Sec']"
11602,Kentucky B And B,Ordinary Drink,Brandy snifter,[],1,"['Benedictine', 'Bourbon']"
11604,Kentucky Colonel,Ordinary Drink,Cocktail glass,[],1,"['Benedictine', 'Bourbon', 'Lemon Peel']"
11634,Lady Love Fizz,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Carbonated Water', 'Egg White', 'lemon', 'Light Cream', 'Powdered Sugar']"
11658,Loch Lomond,Ordinary Drink,Cocktail glass,[],1,"['Scotch', 'Drambuie', 'Dry Vermouth', 'Lemon Peel']"
11662,London Town,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Maraschino Liqueur', 'Orange Bitters']"
11664,Lone Tree Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Sweet Vermouth']"
11666,Lone Tree Cooler,Ordinary Drink,Collins glass,[],1,"['Gin', 'Carbonated Water', 'Dry Vermouth', 'Lemon Peel', 'Orange spiral', 'Powdered Sugar']"
11670,Lord And Lady,Ordinary Drink,Old-fashioned glass,[],1,"['Dark Rum', 'Tia Maria']"
11690,Mai Tai,Ordinary Drink,Collins glass,"['IBA', 'ContemporaryClassic']",1,"['Cherry', 'Light Rum', 'Orgeat Syrup', 'Sweet and Sour', 'Triple Sec']"
11720,Martinez Cocktail,Cocktail,Cocktail glass,[],1,"['Gin', 'Cherry', 'Dry Vermouth', 'Orange Bitters', 'Triple Sec']"
11728,Martini,Cocktail,Cocktail glass,[],1,"['Gin', 'Dry Vermouth', 'Olive']"
11766,Midnight Cowboy,Ordinary Drink,Cocktail glass,[],1,"['Bourbon', 'Dark Rum', 'Heavy cream']"
11786,Mississippi Planters Punch,Ordinary Drink,Collins glass,[],1,"['Bourbon', 'Brandy', 'Carbonated Water', 'lemon', 'Light Rum', 'Powdered Sugar']"
11798,Monkey Wrench,Ordinary Drink,Old-fashioned glass,[],1,"['Bitters', 'Grapefruit Juice', 'Light Rum']"
11844,New York Sour,Ordinary Drink,Whiskey sour glass,[],1,"['Blended Whiskey', 'Cherry', 'lemon', 'Red Wine', 'Sugar']"
11870,Orange Oasis,Ordinary Drink,Highball glass,[],1,"['Gin', 'Cherry Brandy', 'Ginger Ale', 'Orange Juice']"
11872,Orgasm,Ordinary Drink,Cocktail glass,[],1,"['Vodka', 'Amaretto', 'Creme De Cacao', 'Light Cream', 'Triple Sec']"
11936,Pink Gin,Ordinary Drink,White wine glass,[],1,"['Gin', 'Bitters']"
11938,Pink Lady,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Egg White', 'Grenadine', 'Light Cream']"
11959,Poppy Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Creme De Cacao']"
11961,Port And Starboard,Ordinary Drink,Pousse cafe glass,[],1,"['Green Creme de Menthe', 'Grenadine']"
11963,Port Wine Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Brandy', 'Port']"
11965,Port Wine Flip,Ordinary Drink,Whiskey sour glass,[],1,"['Egg', 'Light Cream', 'Nutmeg', 'Port', 'Powdered Sugar']"
11983,Quaker's Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Brandy', 'lemon', 'Light Rum', 'Raspberry syrup']"
11985,Quarter Deck Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Light Rum', 'Lime', 'Sherry']"
11987,Queen Bee,Ordinary Drink,Cocktail glass,[],1,"['Coffee Brandy', 'Lime vodka', 'Sherry']"
11989,Queen Charlotte,Ordinary Drink,Collins glass,[],1,"['Grenadine', 'Lemon-lime soda', 'Red Wine']"
11991,Queen Elizabeth,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Benedictine', 'Dry Vermouth']"
11993,Quentin,Ordinary Drink,Cocktail glass,[],1,"['Dark Rum', 'Kahlua', 'Light Cream', 'Nutmeg']"
